Sample	Cell	Live_Perc	GFP_Perc	GFP_p25	GFP_p50	GFP_p75	dpi	Virus	Variant	Experiment
K562_FL_CBX_4_C5_C05.fcs	33961	63.3	10.6	1382	2516	4404	4	FeLV	CBX	E4
K562_FL_CBX_5_C5_C05.fcs	35057	69.2	11	1302	2516	4581	5	FeLV	CBX	E4
K562_FL_CBX_6_C5_C05.fcs	50673	99.6	10.7	1365	2705	4893	6	FeLV	CBX	E4
K562_FL_CBX_8_C5_C05.fcs	45088	99.7	10.5	1823	3470	6442	8	FeLV	CBX	E4
K562_FL_CBX_10_C5_C05.fcs	47162	98.1	10.8	1606	3184	5856	10	FeLV	CBX	E4
K562_FL_CBX_12_C5_C05.fcs	47714	99.7	11.2	1578	2870	5131	12	FeLV	CBX	E4
K562_FL_W390A_2_B5_B05.fcs	48441	98.3	3.99	1236	2446	4932	2	FeLV	W390A	E4
K562_FL_W390A_3_B5_B05.fcs	50075	99.8	4.1	1286	2371	4691	3	FeLV	W390A	E4
K562_FL_W390A_4_B5_B05.fcs	43605	86.4	3.99	1084	2065	4268	4	FeLV	W390A	E4
K562_FL_W390A_5_B5_B05.fcs	39954	81	4.12	995	1903	3666	5	FeLV	W390A	E4
K562_FL_W390A_6_B5_B05.fcs	50833	99.7	4.11	1203	2299	4533	6	FeLV	W390A	E4
K562_FL_W390A_8_B5_B05.fcs	44957	99.8	3.97	1368	2698	5227	8	FeLV	W390A	E4
K562_FL_W390A_10_B5_B05.fcs	47151	99.6	4.39	1218	2359	4393	10	FeLV	W390A	E4
K562_FL_W390A_12_B5_B05.fcs	48001	99.7	4.72	1442	2555	4791	12	FeLV	W390A	E4
K562_FL_wt_2_A5_A05.fcs	24141	96.7	4.98	1139	2213	3843	2	FeLV	wt	E4
K562_FL_wt_3_A5_A05.fcs	50061	99.8	5.23	1098	2092	3783	3	FeLV	wt	E4
K562_FL_wt_4_A5_A05.fcs	38797	74.7	5.12	967	1694	3063	4	FeLV	wt	E4
K562_FL_wt_5_A5_A05.fcs	38565	77.4	5.1	964	1750	3079	5	FeLV	wt	E4
K562_FL_wt_6_A5_A05.fcs	51003	99.8	5.44	1109	1942	3425	6	FeLV	wt	E4
K562_FL_wt_8_A5_A05.fcs	45022	99.7	5.09	1348	2477	4416	8	FeLV	wt	E4
K562_FL_wt_10_A5_A05.fcs	47516	99.5	5.69	1239	2224	3934	10	FeLV	wt	E4
K562_FL_wt_12_A5_A05.fcs	47788	99.8	5.56	1227	2196	3883	12	FeLV	wt	E4
K562_Ko_CBX_2_C3_C03.fcs	48284	97.6	0.12	313	358	443	2	KoRV	CBX	E4
K562_Ko_CBX_3_C3_C03.fcs	50718	99.6	0.035	337	372	584	3	KoRV	CBX	E4
K562_Ko_CBX_4_C3_C03.fcs	40472	75.5	0.022	733	971	1273	4	KoRV	CBX	E4
K562_Ko_CBX_5_C3_C03.fcs	38235	77.2	0.016	409	444	1372	5	KoRV	CBX	E4
K562_Ko_CBX_6_C3_C03.fcs	50880	99.8	0.02	396	616	912	6	KoRV	CBX	E4
K562_Ko_CBX_8_C3_C03.fcs	44999	99.8	0.00889	364	395	718	8	KoRV	CBX	E4
K562_Ko_CBX_10_C3_C03.fcs	47369	99.5	0.057	331	382	462	10	KoRV	CBX	E4
K562_Ko_CBX_12_C3_C03.fcs	47478	99.9	0.048	406	542	649	12	KoRV	CBX	E4
K562_Ko_W390A_2_B3_B03.fcs	48914	98.6	0.39	406	581	844	2	KoRV	W390A	E4
K562_Ko_W390A_3_B3_B03.fcs	50884	99.8	0.34	421	662	928	3	KoRV	W390A	E4
K562_Ko_W390A_4_B3_B03.fcs	45314	85.1	0.28	409	536	814	4	KoRV	W390A	E4
K562_Ko_W390A_5_B3_B03.fcs	41123	83.5	0.31	388	572	767	5	KoRV	W390A	E4
K562_Ko_W390A_6_B3_B03.fcs	51384	99.7	0.3	423	565	830	6	KoRV	W390A	E4
K562_Ko_W390A_8_B3_B03.fcs	43905	99.8	0.26	606	773	1079	8	KoRV	W390A	E4
K562_Ko_W390A_10_B3_B03.fcs	47493	99.7	0.39	423	592	969	10	KoRV	W390A	E4
K562_Ko_W390A_12_B3_B03.fcs	47279	99.8	0.39	440	617	886	12	KoRV	W390A	E4
K562_Ko_wt_2_A3_A03.fcs	49085	98.3	0.33	424	673	1150	2	KoRV	wt	E4
K562_Ko_wt_3_A3_A03.fcs	50719	99.8	0.24	458	639	1305	3	KoRV	wt	E4
K562_Ko_wt_4_A3_A03.fcs	46021	86.5	0.23	457	672	1058	4	KoRV	wt	E4
K562_Ko_wt_5_A3_A03.fcs	42259	86.6	0.21	435	791	1131	5	KoRV	wt	E4
K562_Ko_wt_6_A3_A03.fcs	51094	99.8	0.35	467	669	983	6	KoRV	wt	E4
K562_Ko_wt_8_A3_A03.fcs	43994	99.8	0.23	570	698	1023	8	KoRV	wt	E4
K562_Ko_wt_10_A3_A03.fcs	47183	99.7	0.28	480	725	1227	10	KoRV	wt	E4
K562_Ko_wt_12_A3_A03.fcs	47182	99.7	0.33	409	605	917	12	KoRV	wt	E4
K562_MoM_CBX_2_C6_C06.fcs	40630	94.3	8.12	1197	2353	4451	2	MoMLV	CBX	E4
K562_MoM_CBX_3_C6_C06.fcs	50013	99.7	8.77	1623	3063	5282	3	MoMLV	CBX	E4
K562_MoM_CBX_4_C6_C06.fcs	28430	51.7	9.4	1345	2503	4510	4	MoMLV	CBX	E4
K562_MoM_CBX_5_C6_C06.fcs	28600	54.1	9.24	1399	2536	4581	5	MoMLV	CBX	E4
K562_MoM_CBX_6_C6_C06.fcs	50519	99.6	9.52	1660	3119	5453	6	MoMLV	CBX	E4
K562_MoM_CBX_8_C6_C06.fcs	44643	99.2	9.31	1733	3461	6307	8	MoMLV	CBX	E4
K562_MoM_CBX_10_C6_C06.fcs	47894	99.2	9.85	1942	3443	6077	10	MoMLV	CBX	E4
K562_MoM_CBX_12_C6_C06.fcs	47922	99.7	9.79	1690	3103	5296	12	MoMLV	CBX	E4
K562_MoM_W390A_2_B6_B06.fcs	48890	99.3	7.36	1681	3235	5997	2	MoMLV	W390A	E4
K562_MoM_W390A_3_B6_B06.fcs	49694	99.6	7.75	1804	3416	6241	3	MoMLV	W390A	E4
K562_MoM_W390A_4_B6_B06.fcs	36081	69.3	7.42	1446	2684	4779	4	MoMLV	W390A	E4
K562_MoM_W390A_5_B6_B06.fcs	31842	61.7	7.5	1424	2636	4618	5	MoMLV	W390A	E4
K562_MoM_W390A_6_B6_B06.fcs	50899	99.6	7.98	1698	3119	5540	6	MoMLV	W390A	E4
K562_MoM_W390A_8_B6_B06.fcs	45378	99.7	7.78	2270	4201	7127	8	MoMLV	W390A	E4
K562_MoM_W390A_10_B6_B06.fcs	47507	98.8	7.66	2113	3714	6257	10	MoMLV	W390A	E4
K562_MoM_W390A_12_B6_B06.fcs	47699	99.7	7.96	1923	3372	5856	12	MoMLV	W390A	E4
K562_MoM_wt_2_A6_A06.fcs	48359	97.4	5.15	1918	3590	6208	2	MoMLV	wt	E4
K562_MoM_wt_3_A6_A06.fcs	50078	99.7	4.88	1908	3695	6598	3	MoMLV	wt	E4
K562_MoM_wt_4_A6_A06.fcs	33474	62.6	4.8	1615	2819	4855	4	MoMLV	wt	E4
K562_MoM_wt_5_A6_A06.fcs	36146	71.7	4.61	1570	2856	4984	5	MoMLV	wt	E4
K562_MoM_wt_6_A6_A06.fcs	50580	99.7	4.87	1804	3260	5856	6	MoMLV	wt	E4
K562_MoM_wt_8_A6_A06.fcs	44730	99.4	4.81	1898	3763	6995	8	MoMLV	wt	E4
K562_MoM_wt_10_A6_A06.fcs	47769	99.2	4.95	2213	3833	6494	10	MoMLV	wt	E4
K562_MoM_wt_12_A6_A06.fcs	47428	99.7	4.95	1851	3498	6110	12	MoMLV	wt	E4
K562_Mock_NA_2_B1_B01.fcs	49415	99.6	0.045	398	455	693	2	Mock	NA	E4
K562_Mock_NA_3_B1_B01.fcs	51064	99.9	0.00587	308	357	693	3	Mock	NA	E4
K562_Mock_NA_4_B1_B01.fcs	49614	93.3	0.02	649	1106	1302	4	Mock	NA	E4
K562_Mock_NA_5_B1_B01.fcs	44847	92.2	0.033	463	786	1328	5	Mock	NA	E4
K562_Mock_NA_6_B1_B01.fcs	50785	99.8	0.02	392	426	677	6	Mock	NA	E4
K562_Mock_NA_8_B1_B01.fcs	43973	99.8	0.016	445	508	622	8	Mock	NA	E4
K562_Mock_NA_10_B1_B01.fcs	46323	99.8	0.043	332	404	629	10	Mock	NA	E4
K562_Mock_NA_12_B1_B01.fcs	47309	99.8	0.078	357	391	619	12	Mock	NA	E4
K562_NA_NA_2_A1_A01.fcs	49447	99.7	0.022	370	492	844	2	NA	NA	E4
K562_NA_NA_3_A1_A01.fcs	51091	99.8	0.016	340	476	574	3	NA	NA	E4
K562_NA_NA_4_A1_A01.fcs	49471	98	0.012	406	447	1227	4	NA	NA	E4
K562_NA_NA_5_A1_A01.fcs	46179	94.7	0.035	446	589	1264	5	NA	NA	E4
K562_NA_NA_6_A1_A01.fcs	51346	99.8	0.012	511	584	652	6	NA	NA	E4
K562_NA_NA_8_A1_A01.fcs	44548	99.9	0.018	634	776	1053	8	NA	NA	E4
K562_NA_NA_10_A1_A01.fcs	46389	99.8	0.05	328	372	561	10	NA	NA	E4
K562_NA_NA_12_A1_A01.fcs	47734	99.9	0.061	355	406	639	12	NA	NA	E4
K562_SN_CBX_2_C4_C04.fcs	48542	98.2	24.1	1111	2076	3843	2	SNV	CBX	E4
K562_SN_CBX_3_C4_C04.fcs	50314	99.7	25	1109	2081	3763	3	SNV	CBX	E4
K562_SN_CBX_4_C4_C04.fcs	39858	72.9	24.4	867	1578	2863	4	SNV	CBX	E4
K562_SN_CBX_5_C4_C04.fcs	36642	73.4	24.8	950	1724	3135	5	SNV	CBX	E4
K562_SN_CBX_6_C4_C04.fcs	51061	99.8	26	1061	1928	3488	6	SNV	CBX	E4
