cell	virus	volume	dpi	cell_count	gfp_perc	MFI	MedFI	ID	GFP_rPerc
K562	SNV	50	3	9178	1.42	2040	1387	SNV_50	1
K562	SNV	100	3	9096	3.98	2052	1487	SNV_100	1
K562	SNV	200	3	9215	14.1	2563	1759	SNV_200	1
K562	NA	0	3	9107	0.022	222	220	NA_0	1
K562	NA	0	31	9523	0.042	260	242	NA_0	1.909
K562	SFFV	50	31	9545	1	8145	6642	SFFV_50	1.351
K562	SFFV	100	31	9624	3.53	7582	5454	SFFV_100	1.256
K562	SFFV	200	31	9620	9.81	7961	6593	SFFV_200	1.121
K562	MoMLV	50	31	9604	1.3	5706	4835	MoMLV_50	1.14
K562	MoMLV	100	31	9584	5.62	6074	4895	MoMLV_100	1.274
K562	MoMLV	200	31	9597	16.3	7155	5535	MoMLV_200	1.164
K562	FeLV	50	31	9538	1.59	5944	5054	FeLV_50	1.529
K562	FeLV	100	31	9592	4.83	5974	4800	FeLV_100	1.421
K562	FeLV	200	31	9650	12.5	6391	5142	FeLV_200	1.29
K562	SNV	50	31	9562	0.52	3060	2284	SNV_50	0.366
K562	SNV	100	31	9632	1.15	2302	1205	SNV_100	0.289
K562	SNV	200	31	9637	5.19	2803	1730	SNV_200	0.368
K562	KoRV	50	31	9569	1.03	2054	1556	KoRV_50	1.108
K562	KoRV	100	31	9660	2.89	1880	1316	KoRV_100	1.025
K562	KoRV	200	31	9570	9.94	1868	1397	KoRV_200	1.035
K562	CrERV	50	31	9585	3.82	3123	2656	CrERV_50	0.808
K562	CrERV	100	31	9650	10.4	3632	2816	CrERV_100	0.846
K562	CrERV	200	31	9738	23.5	3659	2857	CrERV_200	0.839
K562	CrERV	50	7	8945	5.01	3394	2682	CrERV_50	1.059
K562	CrERV	100	7	8841	12.9	3626	3051	CrERV_100	1.049
K562	CrERV	200	7	9155	28.2	3937	3081	CrERV_200	1.007
K562	FeLV	50	7	9211	1.26	5684	4859	FeLV_50	1.212
K562	FeLV	100	7	8848	4.13	5876	5054	FeLV_100	1.215
K562	FeLV	200	7	8903	10.5	6035	4741	FeLV_200	1.084
