FSC.A	SSC.A	B.530_30.A	V.450_50.A	Population	Cell	Virus	well
93047.2	72436.9	37.279	97.3021	GFP-	K562	CrERV	H08
106214	73204.7	77.2191	110.971	GFP-	K562	CrERV	H08
65595.5	48355.8	13.8268	101.132	GFP-	K562	CrERV	H08
89669	60199.8	66.4657	96.9577	GFP-	K562	CrERV	H08
81840.4	44674.4	139.977	78.2686	GFP-	K562	CrERV	H08
102917	62233.9	36.2151	106.033	GFP-	K562	CrERV	H08
90657.7	68940.4	58.5508	122.155	GFP-	K562	CrERV	H08
99955.6	68900.7	61.9378	83.4999	GFP-	K562	CrERV	H08
119110	119329	86.0971	130.149	GFP-	K562	CrERV	H08
83109.5	56838.3	55.4	109.77	GFP-	K562	CrERV	H08
111783	93856.2	115.924	126.389	GFP-	K562	CrERV	H08
75128.8	65398.1	57.7394	83.111	GFP-	K562	CrERV	H08
95254	63977.2	35.1512	81.1661	GFP-	K562	CrERV	H08
113585	86776.2	76.9814	119.887	GFP-	K562	CrERV	H08
68417.8	62278.7	48.7409	91.1832	GFP-	K562	CrERV	H08
83694.9	69298.9	53.4807	93.5112	GFP-	K562	CrERV	H08
98434.9	101103	53.3356	123.653	GFP-	K562	CrERV	H08
93917.6	64721.9	92.3533	115.903	GFP-	K562	CrERV	H08
100498	75050.3	41.3897	88.5518	GFP-	K562	CrERV	H08
82190.5	70122.6	55.8775	95.7518	GFP-	K562	CrERV	H08
80350.3	66075.7	56.7369	99.7987	GFP-	K562	CrERV	H08
149792	122016	95.2414	140.512	GFP-	K562	CrERV	H08
99555.7	80943.4	48.6926	91.3126	GFP-	K562	CrERV	H08
100087	73421.5	61.3655	122.968	GFP-	K562	CrERV	H08
74380.5	80544.1	61.4609	111.1	GFP-	K562	CrERV	H08
64347.5	43471.8	50.869	55.3182	GFP-	K562	CrERV	H08
90445	72588.8	60.4593	147.533	GFP-	K562	CrERV	H08
89598.6	83468.8	42.6472	124.38	GFP-	K562	CrERV	H08
130888	89616.6	78.312	122.241	GFP-	K562	CrERV	H08
86625	62724.9	50.337	79.177	GFP-	K562	CrERV	H08
117652	102098	96.2353	122.669	GFP-	K562	CrERV	H08
76049.1	50659.6	70.9415	80.2581	GFP-	K562	CrERV	H08
98195.5	64381	52.9487	112.13	GFP-	K562	CrERV	H08
151512	117943	76.4111	187.798	GFP-	K562	CrERV	H08
90417	83411.6	70.6084	135.227	GFP-	K562	CrERV	H08
119937	88417.5	90.8848	123.781	GFP-	K562	CrERV	H08
103213	94425.5	50.2402	103.24	GFP-	K562	CrERV	H08
104326	117050	106.539	137.956	GFP-	K562	CrERV	H08
108709	93362.5	99.9247	129.764	GFP-	K562	CrERV	H08
105285	58417.6	82.1113	79.4365	GFP-	K562	CrERV	H08
73401.7	59400.4	69.6564	109.898	GFP-	K562	CrERV	H08
95696.3	78863.9	57.7871	115.131	GFP-	K562	CrERV	H08
119523	70550.5	90.2689	102.724	GFP-	K562	CrERV	H08
121388	90917.4	42.1635	143.663	GFP-	K562	CrERV	H08
138435	132373	109.654	189.06	GFP-	K562	CrERV	H08
115168	105616	118.231	141.96	GFP-	K562	CrERV	H08
127398	91729	71.2746	126.389	GFP-	K562	CrERV	H08
99158.3	61248.4	74.4618	84.4503	GFP-	K562	CrERV	H08
85100.6	57349.5	19.9673	65.0521	GFP-	K562	CrERV	H08
109760	128978	90.9796	173.339	GFP-	K562	CrERV	H08
69019.7	57994.6	70.4656	106.893	GFP-	K562	CrERV	H08
125267	82155.1	105.689	111.4	GFP-	K562	CrERV	H08
99124.1	59258.5	62.7484	91.3988	GFP-	K562	CrERV	H08
87764.7	72097.7	67.2279	80.3014	GFP-	K562	CrERV	H08
84660	68279.3	67.9899	84.1047	GFP-	K562	CrERV	H08
146055	95797.3	65.084	144.684	GFP-	K562	CrERV	H08
123955	87120.1	63.2252	110.199	GFP-	K562	CrERV	H08
72468.1	51218.9	70.8939	83.4135	GFP-	K562	CrERV	H08
84771.5	63550.7	53.6742	52.5328	GFP-	K562	CrERV	H08
77143.7	52013.3	39.5036	75.0226	GFP-	K562	CrERV	H08
103131	73184.6	64.2738	120.015	GFP-	K562	CrERV	H08
79809.3	62449.9	47.3384	97.4744	GFP-	K562	CrERV	H08
97147.4	60443	61.8424	100.53	GFP-	K562	CrERV	H08
139936	118525	84.2945	149.064	GFP-	K562	CrERV	H08
151140	111196	126.04	166.534	GFP-	K562	CrERV	H08
84893.9	80534.3	63.7019	105.99	GFP-	K562	CrERV	H08
113855	72636.8	100.87	131.344	GFP-	K562	CrERV	H08
136801	83457	77.124	128.398	GFP-	K562	CrERV	H08
93069.3	77455	60.4116	127.586	GFP-	K562	CrERV	H08
136120	102274	101.626	152.207	GFP-	K562	CrERV	H08
108863	105671	101.674	150.848	GFP-	K562	CrERV	H08
72986.5	79012.1	66.7516	92.175	GFP-	K562	CrERV	H08
117658	88297.8	63.6542	144.939	GFP-	K562	CrERV	H08
78475.2	81129.5	44.5333	91.1401	GFP-	K562	CrERV	H08
83486.6	72161.6	46.7097	118.602	GFP-	K562	CrERV	H08
101405	65464.7	64.1785	103.111	GFP-	K562	CrERV	H08
76824.5	86546.9	100.965	140.682	GFP-	K562	CrERV	H08
124979	90763.9	60.2685	118.045	GFP-	K562	CrERV	H08
86540.5	81411.9	84.4842	120.186	GFP-	K562	CrERV	H08
92198.5	96862.6	73.796	159.631	GFP-	K562	CrERV	H08
72198.5	51120.1	36.8438	67.0916	GFP-	K562	CrERV	H08
102497	84792.6	45.2104	123.995	GFP-	K562	CrERV	H08
123757	99936.2	71.8932	150.381	GFP-	K562	CrERV	H08
127068	98116.2	70.5132	131.43	GFP-	K562	CrERV	H08
53862	50895.6	48.5475	90.3638	GFP-	K562	CrERV	H08
126013	79389.4	78.312	158.699	GFP-	K562	CrERV	H08
94042.5	66759.5	53.9644	99.6696	GFP-	K562	CrERV	H08
84151.3	80697.9	99.4046	150.721	GFP-	K562	CrERV	H08
122776	68063.9	91.1691	146.003	GFP-	K562	CrERV	H08
112367	89415.2	65.894	113.759	GFP-	K562	CrERV	H08
106699	58769.4	66.5134	103.24	GFP-	K562	CrERV	H08
85129.4	46739.3	51.7396	77.8792	GFP-	K562	CrERV	H08
90661.9	55449.3	46.6129	82.5925	GFP-	K562	CrERV	H08
102853	67117.1	66.9897	96.6132	GFP-	K562	CrERV	H08
104615	84329.7	81.0193	99.1962	GFP-	K562	CrERV	H08
118726	83383.7	76.316	129.722	GFP-	K562	CrERV	H08
95283.6	67366.4	61.5086	107.322	GFP-	K562	CrERV	H08
85981.7	78310.9	63.6065	105.217	GFP-	K562	CrERV	H08
123339	122606	125.852	173.086	GFP-	K562	CrERV	H08
108294	68375.9	31.6694	91.2695	GFP-	K562	CrERV	H08
119693	97767.7	63.6065	100.917	GFP-	K562	CrERV	H08
108241	72623.2	76.8864	126.817	GFP-	K562	CrERV	H08
85818.3	50688.9	45.7424	81.2093	GFP-	K562	CrERV	H08
120311	80402.8	84.1047	124.123	GFP-	K562	CrERV	H08
118172	101697	88.4205	139.106	GFP-	K562	CrERV	H08
101835	71340.9	58.1213	126.004	GFP-	K562	CrERV	H08
129693	76763.2	51.4977	129.295	GFP-	K562	CrERV	H08
94717.5	56384.6	58.6462	130.49	GFP-	K562	CrERV	H08
86553.7	62019	28.8646	60.6226	GFP-	K562	CrERV	H08
98581.8	72483.6	56.4505	106.119	GFP-	K562	CrERV	H08
87717.4	58138	49.9984	71.4274	GFP-	K562	CrERV	H08
115704	78565.7	67.9423	118.045	GFP-	K562	CrERV	H08
76969.2	37756	48.7409	85.5301	GFP-	K562	CrERV	H08
132673	127184	116.489	176.59	GFP-	K562	CrERV	H08
90285.7	90845.5	89.7476	137.657	GFP-	K562	CrERV	H08
87544.2	74131.4	52.5618	102.939	GFP-	K562	CrERV	H08
123544	95059.5	77.2666	131.216	GFP-	K562	CrERV	H08
136867	92109.2	94.1527	165.222	GFP-	K562	CrERV	H08
78623.8	84723.8	69.5135	137.998	GFP-	K562	CrERV	H08
91799.3	59102.6	61.0794	94.0284	GFP-	K562	CrERV	H08
117612	101290	120.209	147.788	GFP-	K562	CrERV	H08
122716	94385.8	100.823	171.227	GFP-	K562	CrERV	H08
71468.5	60876.6	69.1803	120.272	GFP-	K562	CrERV	H08
100051	53880	69.8468	101.477	GFP-	K562	CrERV	H08
111296	94115.6	90.9796	142.173	GFP-	K562	CrERV	H08
99395.7	66030	78.1219	126.175	GFP-	K562	CrERV	H08
96634.3	64959	54.397	91.1832	GFP-	K562	CrERV	H08
95492.3	84259.1	61.8424	90.7089	GFP-	K562	CrERV	H08
133623	94261.7	74.6045	175.661	GFP-	K562	CrERV	H08
99857.5	63117.5	99.8774	99.6696	GFP-	K562	CrERV	H08
149278	132627	114.322	170.424	GFP-	K562	CrERV	H08
67529.5	71861.4	80.7819	104.314	GFP-	K562	CrERV	H08
86093.5	74011.4	56.6415	120.786	GFP-	K562	CrERV	H08
102342	73733.9	63.6542	130.234	GFP-	K562	CrERV	H08
77298.9	55555.7	52.1748	98.7228	GFP-	K562	CrERV	H08
96571.1	57880.1	53.7709	77.2734	GFP-	K562	CrERV	H08
113518	84072.8	70.9415	117.617	GFP-	K562	CrERV	H08
125831	87493.8	96.8977	159.928	GFP-	K562	CrERV	H08
112966	77210.5	38.8266	113.974	GFP-	K562	CrERV	H08
53702.6	67979.8	39.7938	38.9421	GFP-	K562	CrERV	H08
93457.9	64874.2	68.4661	122.669	GFP-	K562	CrERV	H08
60553.2	44263.3	18.6618	75.3257	GFP-	K562	CrERV	H08
52125.4	51762.2	37.1823	90.2344	GFP-	K562	CrERV	H08
92945.2	82836.6	77.8843	115.946	GFP-	K562	CrERV	H08
114603	84488.3	79.0721	112.987	GFP-	K562	CrERV	H08
82555.7	49085.4	18.5168	93.5112	GFP-	K562	CrERV	H08
87852.1	74285.1	69.9896	112.516	GFP-	K562	CrERV	H08
113966	89645.2	97.6073	127.714	GFP-	K562	CrERV	H08
119177	65339.7	86.192	122.497	GFP-	K562	CrERV	H08
116628	128577	83.9623	147.576	GFP-	K562	CrERV	H08
114762	102515	87.8042	173.719	GFP-	K562	CrERV	H08
90123.9	74940.5	45.694	121.513	GFP-	K562	CrERV	H08
101121	101294	45.2587	151.443	GFP-	K562	CrERV	H08
95026.6	62160.6	37.7626	131.216	GFP-	K562	CrERV	H08
94347.3	73271.1	71.1795	80.9067	GFP-	K562	CrERV	H08
123787	102572	50.5304	116.246	GFP-	K562	CrERV	H08
110902	88241.6	77.0765	129.337	GFP-	K562	CrERV	H08
120316	72440	71.2746	118.559	GFP-	K562	CrERV	H08
77435.8	68166.5	65.7987	91.7869	GFP-	K562	CrERV	H08
121560	72314.7	82.0638	76.5377	GFP-	K562	CrERV	H08
64789.2	54655.4	40.3741	72.164	GFP-	K562	CrERV	H08
141457	108112	90.4584	197.714	GFP-	K562	CrERV	H08
120726	100678	72.1311	172.241	GFP-	K562	CrERV	H08
69698.6	41560.7	35.7799	89.803	GFP-	K562	CrERV	H08
75141.7	75624.6	55.591	118.002	GFP-	K562	CrERV	H08
106451	66294.8	33.4103	137.913	GFP-	K562	CrERV	H08
123960	80567.7	64.941	120.486	GFP-	K562	CrERV	H08
108229	69504.4	81.4467	127.073	GFP-	K562	CrERV	H08
124424	117982	80.0221	123.396	GFP-	K562	CrERV	H08
76576.6	46344.6	64.3215	88.5518	GFP-	K562	CrERV	H08
115080	102208	76.0308	109.898	GFP-	K562	CrERV	H08
60612.5	60234.3	84.6266	90.3207	GFP-	K562	CrERV	H08
123245	82092.2	75.7456	102.165	GFP-	K562	CrERV	H08
93498.5	63860.8	64.4645	108.138	GFP-	K562	CrERV	H08
103916	79774.5	64.0832	135.952	GFP-	K562	CrERV	H08
58875.2	41324	36.9405	62.534	GFP-	K562	CrERV	H08
71185.2	45142.5	66.2275	75.1092	GFP-	K562	CrERV	H08
89629.8	66205.5	58.0258	117.617	GFP-	K562	CrERV	H08
89915.7	44843.7	56.5937	87.5592	GFP-	K562	CrERV	H08
123986	92117.5	92.3059	116.546	GFP-	K562	CrERV	H08
103533	64005.6	70.0848	106.334	GFP-	K562	CrERV	H08
76104.9	65873.2	47.5318	105.26	GFP-	K562	CrERV	H08
63000.3	44995.1	26.06	50.9652	GFP-	K562	CrERV	H08
65919.8	51580.6	42.7439	90.6226	GFP-	K562	CrERV	H08
109612	91213.8	83.0132	153.651	GFP-	K562	CrERV	H08
73766.9	64116.7	66.6563	105.002	GFP-	K562	CrERV	H08
109381	102099	61.604	126.817	GFP-	K562	CrERV	H08
102042	87284.1	80.497	126.004	GFP-	K562	CrERV	H08
113915	64400.5	62.2239	77.2301	GFP-	K562	CrERV	H08
88418.7	59998.3	62.8438	90.4501	GFP-	K562	CrERV	H08
117705	95853.2	60.8409	127.329	GFP-	K562	CrERV	H08
99963.8	73242.8	76.3635	115.689	GFP-	K562	CrERV	H08
104963	110739	71.3222	174.901	GFP-	K562	CrERV	H08
126926	108387	60.173	125.406	GFP-	K562	CrERV	H08
107698	79524.7	51.8847	159.335	GFP-	K562	CrERV	H08
101475	83471.4	146.624	127.543	GFP-	K562	CrERV	H08
93685.6	80069.7	45.5973	117.66	GFP-	K562	CrERV	H08
112203	116229	82.3012	152.504	GFP-	K562	CrERV	H08
117228	96134.6	102.902	157.003	GFP-	K562	CrERV	H08
71714.8	57202.9	87.3775	114.788	GFP-	K562	CrERV	H08
75478.2	68786.5	58.7417	83.4999	GFP-	K562	CrERV	H08
108964	66700.5	48.4991	86.3505	GFP-	K562	CrERV	H08
90051.8	73701.4	66.7039	102.552	GFP-	K562	CrERV	H08
124763	100812	65.6082	115.56	GFP-	K562	CrERV	H08
79851.4	57970.8	49.2246	63.6196	GFP-	K562	CrERV	H08
107170	76067.7	60.4116	119.073	GFP-	K562	CrERV	H08
103241	90752	97.5127	130.917	GFP-	K562	CrERV	H08
90149	61384.2	49.2246	106.635	GFP-	K562	CrERV	H08
142099	128803	80.307	171.692	GFP-	K562	CrERV	H08
132152	105858	80.2595	141.364	GFP-	K562	CrERV	H08
126753	100984	48.5475	108.224	GFP-	K562	CrERV	H08
118369	85866.1	63.1775	151.23	GFP-	K562	CrERV	H08
64151.4	50501	34.716	100.917	GFP-	K562	CrERV	H08
73957.5	63866.4	56.164	83.9751	GFP-	K562	CrERV	H08
99241.6	77797.4	70.2752	105.045	GFP-	K562	CrERV	H08
77507.1	53217	51.6912	71.2974	GFP-	K562	CrERV	H08
89347.9	57356.5	76.2685	109.684	GFP-	K562	CrERV	H08
91332.6	54409.1	46.9515	84.3639	GFP-	K562	CrERV	H08
75394.7	65698.1	62.3193	101.348	GFP-	K562	CrERV	H08
71259.5	77341.9	67.9899	89.7599	GFP-	K562	CrERV	H08
124300	105339	84.247	143.024	GFP-	K562	CrERV	H08
90158.9	75731.2	55.1134	149.616	GFP-	K562	CrERV	H08
101177	91802.8	67.847	104.744	GFP-	K562	CrERV	H08
98229	84573.5	67.7042	111.314	GFP-	K562	CrERV	H08
95636	55498.5	57.7871	116.374	GFP-	K562	CrERV	H08
71900.9	56711.7	71.8932	127.415	GFP-	K562	CrERV	H08
111198	99836.6	66.7039	104.615	GFP-	K562	CrERV	H08
84632.3	65534.8	70.5608	117.702	GFP-	K562	CrERV	H08
143151	108882	95.8094	177.602	GFP-	K562	CrERV	H08
90544.7	51050.3	54.2537	94.1577	GFP-	K562	CrERV	H08
103330	69362.8	62.51	119.501	GFP-	K562	CrERV	H08
78869.9	57445.9	79.2621	91.6145	GFP-	K562	CrERV	H08
122499	81022.3	83.1081	132.027	GFP-	K562	CrERV	H08
