Sample	Virus	TargetSite	mCherry_Freq	mCherry_MFI	PCR	Seq	target_allele	CN
20K2-E8	KoRV	IFT20	100	73474	++	++	0	7.91
20K2-F9	KoRV	IFT20	100	63673	++	++	0	3.6
20K2-G3	KoRV	IFT20	100	65581	NA	NA	unk	NA
20K2-F4	KoRV	IFT20	86.2	80976	++	++	1	6.37
20K2-F7	KoRV	IFT20	99.6	57121	++	++	1	4.53
20K2-G10	KoRV	IFT20	99.9	54066	++	++	0	4.3
20K1-A1	KoRV	IFT20	99.9	60092	+-	NA	NA	NA
20K1-A4	KoRV	IFT20	99.9	47602	++	++	0	4.44
20K1-C4	KoRV	IFT20	99.9	48207	++	++	1	2.29
20F2-B8	FeLV	IFT20	100	184110	NA	NA	unk	NA
20F2-C7	FeLV	IFT20	100	133341	++	++	1	3
20F2-D2	FeLV	IFT20	100	104169	++	++	1	1.21
20F2-D6	FeLV	IFT20	100	122278	++	++	1	2.8
20F2-D9	FeLV	IFT20	100	118199	++	++	1	4.65
20F2-G9	FeLV	IFT20	100	172693	NA	NA	unk	NA
20K1-D11	KoRV	IFT20	99.9	53190	++	++	0	4.46
20K1-E2	KoRV	IFT20	100	141861	NA	NA	unk	NA
20K1-F10	KoRV	IFT20	99.9	71691	++	++	0	1.02
20K1-G6	KoRV	IFT20	98.1	80367	NA	NA	unk	NA
20K1-G9	KoRV	IFT20	100	46037	++	++	0	5.35
20K2-A11	KoRV	IFT20	99.9	65781	++	++	0	4.13
20A-C3	ASLV	IFT20	0	NA	--	NA	NA	NA
20A-C7	ASLV	IFT20	0	NA	--	NA	NA	NA
20A-D2	ASLV	IFT20	0.073	1540	--	NA	NA	NA
20A-D3	ASLV	IFT20	0.037	1501	--	NA	NA	NA
20A-E7	ASLV	IFT20	0.037	1600	--	NA	NA	NA
20A-F4	ASLV	IFT20	0.49	1974	++	++	1	11.56
20A-F8	ASLV	IFT20	0	NA	--	NA	NA	NA
20A-G2	ASLV	IFT20	0.048	1537	NA	NA	unk	NA
20A-G6	ASLV	IFT20	0	NA	NA	NA	unk	NA
20A-A6	ASLV	IFT20	0.049	1583	NA	NA	unk	NA
20A-B2	ASLV	IFT20	0.052	1746	NA	NA	unk	NA
20A-B12	ASLV	IFT20	0.022	1545	NA	NA	unk	NA
20A-C9	ASLV	IFT20	0.13	1673	NA	NA	unk	NA
20A-D1	ASLV	IFT20	0	NA	--	NA	NA	NA
20A-D5	ASLV	IFT20	0.1	1673	NA	NA	unk	NA
20A-D7	ASLV	IFT20	0.064	1618	NA	NA	unk	NA
20A-D9	ASLV	IFT20	0.19	1615	--	NA	NA	NA
20A-E4	ASLV	IFT20	0.23	1580	--	NA	NA	NA
20A-E5	ASLV	IFT20	0.047	1833	--	NA	NA	NA
20A-E8	ASLV	IFT20	0.24	4291	++	++	0	7.94
20A-F3	ASLV	IFT20	0.2	1648	++	++	1	1.27
20A-G4	ASLV	IFT20	0.018	1517	--	NA	NA	NA
20A-G5	ASLV	IFT20	0.023	1698	--	NA	NA	NA
20A-H7	ASLV	IFT20	0.11	1692	--	NA	NA	NA
